date_time,Unnamed: 0,ask,bid,ask_volume,bid_volume
2021-01-03 22:30:46.984,473,1.22388,1.22381,0.94,0.19
2021-01-03 22:30:47.269,474,1.22388,1.22385,0.94,5.98
2021-01-03 22:30:47.376,475,1.22388,1.22385,0.94,5.98
2021-01-03 22:30:47.707,476,1.22387,1.22382,0.94,0.19
2021-01-03 22:30:47.927,477,1.22388,1.22385,0.94,5.98
2021-01-03 22:30:48.889,478,1.22385,1.22381,0.75,0.19
2021-01-03 22:30:49.419,479,1.22385,1.2238,1.5,5.98
2021-01-03 22:30:49.522,480,1.22381,1.22374,1.12,0.75
2021-01-03 22:30:49.987,481,1.22371,1.22357,0.37,7.5
2021-01-03 22:30:50.039,482,1.22373,1.22358,7.5,7.5
2021-01-03 22:30:50.091,483,1.22367,1.22357,0.37,7.5
2021-01-03 22:30:50.194,484,1.22366,1.22357,0.37,7.5
2021-01-03 22:30:50.245,485,1.22366,1.22344,0.37,0.015
2021-01-03 22:30:51.449,486,1.22366,1.22333,0.37,0.78
2021-01-03 22:30:53.625,487,1.22361,1.2234,9.02,6.01
2021-01-03 22:30:53.699,488,1.22366,1.22333,0.37,0.78
2021-01-03 22:30:53.837,489,1.22366,1.22333,0.37,0.78
2021-01-03 22:30:58.099,490,1.22367,1.22333,0.37,0.78
2021-01-03 22:30:58.693,491,1.22354,1.22329,0.75,7.54
2021-01-03 22:30:58.795,492,1.2235,1.22329,3.75,7.54
2021-01-03 22:30:59.118,493,1.2235,1.22327,3.75,8.29
2021-01-03 22:31:01.429,494,1.2235,1.22327,3.67,0.79
2021-01-03 22:31:01.480,495,1.2235,1.22325,3.67,0.37
2021-01-03 22:31:01.978,496,1.2235,1.22328,3.64,0.37
2021-01-03 22:31:07.543,497,1.22356,1.22337,0.75,0.37
2021-01-03 22:31:07.645,498,1.22356,1.2234,0.75,1.12
2021-01-03 22:31:07.798,499,1.22356,1.22339,0.75,0.19
2021-01-03 22:31:07.899,500,1.22356,1.22338,0.75,0.37
2021-01-03 22:31:09.406,501,1.22355,1.22338,0.75,0.37
2021-01-03 22:31:32.028,502,1.22352,1.22333,3.75,7.5
2021-01-03 22:31:32.180,503,1.2235,1.22333,3.75,7.5
2021-01-03 22:31:32.231,504,1.2235,1.22328,3.75,0.37
2021-01-03 22:31:34.475,505,1.2235,1.22343,3.75,0.37
2021-01-03 22:31:37.359,506,1.22349,1.22342,3.75,0.37
2021-01-03 22:31:40.204,507,1.2235,1.2234,3.75,7.5
2021-01-03 22:31:43.708,508,1.2235,1.22341,3.75,0.75
2021-01-03 22:31:43.759,509,1.22349,1.22344,3.75,0.75
2021-01-03 22:31:48.770,510,1.2235,1.22346,3.75,7.5
2021-01-03 22:31:51.907,511,1.2235,1.22343,3.75,0.75
2021-01-03 22:32:01.304,512,1.2235,1.22344,3.75,0.94
2021-01-03 22:32:10.107,513,1.22367,1.22354,0.19,0.37
2021-01-03 22:32:10.209,514,1.22369,1.22354,0.75,0.37
2021-01-03 22:32:10.976,515,1.22365,1.22353,0.75,0.37
2021-01-03 22:32:12.321,516,1.22366,1.2235,0.75,0.37
2021-01-03 22:32:13.533,517,1.22364,1.2235,0.75,0.75
2021-01-03 22:32:14.002,518,1.22362,1.2235,9.02,0.75
2021-01-03 22:32:14.092,519,1.22364,1.2235,0.75,0.75
2021-01-03 22:32:16.075,520,1.22364,1.22351,0.75,0.37
2021-01-03 22:32:20.230,521,1.22364,1.22356,0.75,0.37
2021-01-03 22:32:23.762,522,1.22364,1.2235,0.75,0.75
2021-01-03 22:32:25.416,523,1.22364,1.22349,0.75,1.5
2021-01-03 22:32:25.467,524,1.22361,1.22349,0.75,0.75
2021-01-03 22:32:25.568,525,1.22361,1.22348,0.75,0.75
2021-01-03 22:32:30.252,526,1.22361,1.22354,0.75,0.37
2021-01-03 22:32:31.543,527,1.22361,1.22348,0.75,0.75
2021-01-03 22:32:35.127,528,1.22361,1.22347,0.75,0.75
2021-01-03 22:32:35.178,529,1.2236,1.22342,0.37,7.5
2021-01-03 22:32:35.229,530,1.22366,1.22353,0.75,0.75
2021-01-03 22:32:36.626,531,1.22361,1.22353,0.75,0.75
2021-01-03 22:32:36.677,532,1.22366,1.22353,0.75,0.75
2021-01-03 22:32:36.728,533,1.22366,1.22355,0.75,0.94
